,"[1.0402614178395275e-07,0.17193279907415993)","[0.17193279907415993,0.3381094324599546)","[0.3381094324599546,0.4930331382409601)","[0.4930331382409601,0.6329052881802277)","[0.6329052881802277,0.7526560380839981)","[0.7526560380839981,0.8493169572534295)","[0.8493169572534295,0.920637876464084)","[0.920637876464084,0.9668873491251462)","[0.9668873491251462,0.9911989762676482)","[0.9911989762676482,0.9999999988532811)"
"[0.0,0.772196866090498)",5.8872416,5.901453,6.2511722,6.0610745,6.5610879,6.982193,7.4943564,8.1469472,9.1524386,10.0
"[0.772196866090498,1.0913184686424118)",5.8191933,5.8046701,5.986113,5.9257299,6.3237142,6.8432731,6.9878849,7.7152793,8.4859503,9.3508334
"[1.0913184686424118,1.357574307358554)",5.7615307,5.8691297,5.768515,6.0059176,6.1210413,6.2655468,6.7156156,7.4169326,8.3884834,9.1449088
"[1.357574307358554,1.5984792773133323)",5.6735579,5.4827493,5.6562439,5.641945,5.8576102,6.2433794,6.6532961,7.0214122,8.046497,8.7203309
"[1.5984792773133323,1.8246490073435624)",5.3406752,5.469966,5.45988,5.616039,5.6887601,6.0277001,6.2686661,6.89224,7.8105592,8.4565977
"[1.8246490073435624,2.0440743626394924)",5.1793262,5.2646566,5.3960359,5.4490257,5.5084181,5.8395017,6.0354068,6.5976763,7.5292984,8.0166766
"[2.0440743626394924,2.2601380488810756)",5.1258287,5.0821352,5.1684639,5.2990748,5.392335,5.4970037,5.8851332,6.3567566,7.3881784,7.7100426
"[2.2601380488810756,2.4772242530703443)",4.8646219,4.9397083,4.9377718,5.0286558,5.2850317,5.5396049,5.7982349,6.2240666,7.0778194,7.6856748
"[2.4772242530703443,2.699036865253964)",4.7716648,4.8146052,4.8738083,4.8382517,5.151369,5.2394545,5.541622,6.0779452,6.878036,7.5673466
"[2.699036865253964,2.928142073055858)",4.6029057,4.6635268,4.7445879,4.7206435,4.8978478,5.0652887,5.3426567,5.8276653,6.3761809,6.9976735
"[2.928142073055858,3.1674039843379984)",4.3559332,4.5136409,4.5112424,4.6176223,4.7937402,4.9443782,5.2005884,5.8260682,6.3344449,6.86143
"[3.1674039843379984,3.419847949836388)",4.2647209,4.3221993,4.3452572,4.4711629,4.5977157,4.6141816,5.1039709,5.5345214,5.9939857,6.6646594
"[3.419847949836388,3.688034706995004)",4.103796,4.114531,4.15293,4.2182141,4.4058172,4.4995408,4.7646367,5.2728698,5.9240584,6.2184137
"[3.688034706995004,3.9767725607582856)",3.8729321,3.8725488,3.9468757,4.0155647,4.0737099,4.3008338,4.5880395,4.9477704,5.7482079,6.1298901
"[3.9767725607582856,4.289410215868818)",3.5777005,3.6985498,3.7630971,3.8211917,3.8407744,4.00791,4.3653223,4.878191,5.4260204,5.9210158
"[4.289410215868818,4.63586022222414)",3.4907059,3.5079483,3.4934928,3.6065433,3.6299368,3.8883037,4.1469192,4.5719994,5.2322548,5.6259505
"[4.63586022222414,5.025531305565152)",3.1739051,3.0999722,3.2673869,3.2773792,3.4020933,3.6374745,3.8119181,4.2891979,4.9038737,5.2150477
"[5.025531305565152,5.470391576477862)",2.8663593,2.8286352,2.9208947,2.9842121,3.0808893,3.2631677,3.5251997,4.0362104,4.5537557,4.8885233
"[5.470391576477862,5.983080143203824)",2.4788111,2.5547376,2.5767934,2.6806179,2.8254004,3.0538429,3.2544859,3.7634588,4.2966213,4.6570841
"[5.983080143203824,6.583450766885109)",2.2024586,2.1386342,2.2152909,2.2986301,2.4408356,2.6492163,2.9599434,3.3912682,3.9205584,4.1597759
"[6.583450766885109,7.300279446706156)",1.6952248,1.745215,1.8157472,1.8952819,2.0398341,2.2431871,2.6105835,3.0322002,3.5747343,3.8639155
"[7.300279446706156,8.166914717321339)",1.2615307,1.309043,1.3377419,1.4515127,1.608685,1.8340184,2.1598126,2.6511195,3.1390643,3.3605125
"[8.166914717321339,9.233733833944278)",0.7082032,0.7848882,0.8457392,0.9466162,1.1088299,1.4220691,1.7897733,2.2517625,2.664836,2.9561739
"[9.233733833944278,10.580843066599178)",0.1222968,0.2213167,0.3078658,0.41348,0.5814609,0.9652748,1.2669588,1.7602994,2.2085126,2.4540545
"[10.580843066599178,12.277416224975035)",-0.3859595,-0.354241,-0.2554626,-0.1127375,0.0722674,0.4209584,0.8247094,1.19631,1.5458342,1.7903488
"[12.277416224975035,14.439519105565799)",-1.0068377,-0.9197596,-0.8265335,-0.681497,-0.4852674,-0.1800516,0.2593006,0.5798265,0.939998,1.1981327
"[14.439519105565799,17.273702556197932)",-1.6687994,-1.5900425,-1.4885161,-1.290206,-1.095163,-0.7953226,-0.4221105,-0.0613519,0.2991239,0.6271521
"[17.273702556197932,21.042246709433012)",-2.3927405,-2.3203276,-2.1807546,-2.0160483,-1.7652438,-1.522271,-1.1269184,-0.6969969,-0.2457135,-0.0040331
"[21.042246709433012,26.393235496998088)",-3.2432055,-3.2224219,-3.0678707,-2.8238513,-2.5291747,-2.3252717,-2.0396165,-1.5035206,-1.0169268,-0.9188783
"[26.393235496998088,37.181566296460204)",-4.6396226,-4.5461239,-4.4317003,-4.3025046,-4.1740422,-4.0021395,-3.7742897,-3.4584556,-3.1988325,-3.0984738
"[37.181566296460204,327.6704460521272)",-9.957302,-9.8598942,-9.8639048,-9.9753033,-10.0,-9.9991177,-9.9035436,-9.8322351,-9.7793767,-9.70943
