,"[6.289710151145822e-09,0.13603508441002193)","[0.13603508441002193,0.27037358687267277)","[0.27037358687267277,0.4011317005773878)","[0.4011317005773878,0.5261198604517529)","[0.5261198604517529,0.6431360595422209)","[0.6431360595422209,0.7498199391755813)","[0.7498199391755813,0.8432730300788837)","[0.8432730300788837,0.9190133100578095)","[0.9190133100578095,0.9718126338933839)","[0.9718126338933839,0.9999999999817017)"
"[0.0,1.045161132879548)",7.0223257,7.0307197,7.0453549,7.1138282,7.1203187,7.2139854,7.3530628,7.5513276,8.1022816,10.0
"[1.045161132879548,1.3746360942114044)",6.9150893,6.8750498,6.8842142,6.9407034,6.9646661,7.0745234,7.1171726,7.3148877,7.8279945,9.2850377
"[1.3746360942114044,1.6351676158834307)",6.7468185,6.7998951,6.7962018,6.8161002,6.8623414,6.8699112,6.9869424,7.1996342,7.6210423,8.7183147
"[1.6351676158834307,1.8663818216542734)",6.6729068,6.6233316,6.6579354,6.6798455,6.7208129,6.7773716,6.8687164,7.0909526,7.5008677,8.4120095
"[1.8663818216542734,2.083417261716492)",6.5097425,6.5285456,6.563964,6.5253647,6.5672999,6.6543786,6.7826151,6.9356585,7.3485208,8.1694148
"[2.083417261716492,2.2925571159356135)",6.3916014,6.4030043,6.4260551,6.4114767,6.4813549,6.5014118,6.6283734,6.8411641,7.2381764,7.9829695
"[2.2925571159356135,2.4988031858415636)",6.2960412,6.2997615,6.275847,6.3205259,6.3372566,6.4475993,6.5009602,6.6833878,7.1197085,7.8602772
"[2.4988031858415636,2.7047616538124757)",6.1532999,6.168545,6.1323059,6.1549755,6.2052161,6.2800659,6.333027,6.6043084,6.985547,7.6626358
"[2.7047616538124757,2.9131975559511574)",5.9897019,5.9772118,6.0286785,6.035287,6.109202,6.1573633,6.2307571,6.4231348,6.868127,7.5376496
"[2.9131975559511574,3.126276522831943)",5.8921936,5.8678107,5.888142,5.8919452,5.9085205,5.9940991,6.1039654,6.3098339,6.7671377,7.3869677
"[3.126276522831943,3.3460098879140507)",5.7047199,5.7337159,5.7126592,5.7780675,5.796506,5.8373894,5.9620968,6.2033312,6.6651173,7.2752697
"[3.3460098879140507,3.574698011827696)",5.5454741,5.5384597,5.5819068,5.602237,5.6388595,5.6998739,5.7960153,6.0230354,6.5056806,7.1043474
"[3.574698011827696,3.8140475870384267)",5.371451,5.3800281,5.3818888,5.4122571,5.4663303,5.518683,5.6489263,5.906489,6.3452399,7.0190358
"[3.8140475870384267,4.066599771836338)",5.1775966,5.2046776,5.1996658,5.2511732,5.2654925,5.3580057,5.4619019,5.7363404,6.2327931,6.8646275
"[4.066599771836338,4.33542724670336)",4.9702064,5.0154676,5.0230914,5.0577562,5.0767115,5.1817047,5.2872702,5.5615676,6.0689004,6.7405907
"[4.33542724670336,4.624011908345525)",4.7766827,4.7808343,4.7866731,4.8088251,4.8856731,4.9389239,5.0855978,5.3726513,5.8897876,6.5724709
"[4.624011908345525,4.936644292928469)",4.5486539,4.5708971,4.5955051,4.5835216,4.6577346,4.7405679,4.8817593,5.2015391,5.7601656,6.4376956
"[4.936644292928469,5.2790419878453205)",4.2896371,4.2927634,4.299967,4.3354088,4.4198881,4.4682503,4.6537001,4.9721719,5.5393731,6.2677392
"[5.2790419878453205,5.658231042013346)",3.997552,4.017208,4.0409393,4.0765088,4.1106353,4.2310062,4.3936113,4.7105123,5.3542558,6.0416481
"[5.658231042013346,6.084056709211098)",3.6983991,3.7134304,3.7226385,3.7453209,3.8341515,3.9234122,4.1106901,4.4271347,5.0875236,5.8191536
"[6.084056709211098,6.56966332222284)",3.3631522,3.3434482,3.3813546,3.4229651,3.4969923,3.6167016,3.7818427,4.1101389,4.7384945,5.543035
"[6.56966332222284,7.135582280459467)",2.9627793,2.963384,2.9714533,3.0425054,3.1128232,3.2205604,3.4093009,3.7676763,4.3847657,5.1876436
"[7.135582280459467,7.81034286772069)",2.4900357,2.5157932,2.5327198,2.597917,2.6677903,2.7901324,2.9866332,3.3357599,3.9944055,4.7305454
"[7.81034286772069,8.640025691636243)",1.9723748,2.005006,2.0341392,2.0765779,2.1441109,2.2849524,2.4838802,2.8452654,3.4895694,4.2798097
"[8.640025691636243,9.701557658124647)",1.3530957,1.3798169,1.4210498,1.4571413,1.5666437,1.6813057,1.9055402,2.2650856,2.913746,3.6796455
"[9.701557658124647,11.138717831566563)",0.6094589,0.6257664,0.6625826,0.7265086,0.8195699,0.9469612,1.1794792,1.5320772,2.14169,2.8663069
"[11.138717831566563,13.243894322115818)",-0.3098903,-0.292579,-0.2545523,-0.1834555,-0.0861742,0.050989,0.270904,0.6082917,1.0918071,1.6928376
"[13.243894322115818,16.61881200585722)",-1.4539742,-1.4382087,-1.3998084,-1.3301849,-1.2309782,-1.0744739,-0.8871814,-0.6066415,-0.2310972,0.1672105
"[16.61881200585722,22.635928816224123)",-2.8982747,-2.872849,-2.8329918,-2.7737209,-2.6597743,-2.528808,-2.3816615,-2.1884087,-1.870814,-1.5427742
"[22.635928816224123,36.56512389627257)",-5.0611042,-5.0492779,-5.0135117,-4.9472299,-4.847487,-4.7402033,-4.6288533,-4.4827851,-4.1667566,-2.9937347
"[36.56512389627257,745.1637850586442)",-9.9794493,-10.0,-9.9828398,-9.9347645,-9.8263238,-9.770598,-9.7254285,-9.6550825,-9.6034798,-9.5011896
